STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX
USW00094789,40.63915,-73.7639,2.7,2/28/11,60
USW00094789,40.63915,-73.7639,2.7,3/1/11,49
USW00094789,40.63915,-73.7639,2.7,3/2/11,56
USW00094789,40.63915,-73.7639,2.7,3/3/11,33
USW00094789,40.63915,-73.7639,2.7,3/4/11,41
USW00094789,40.63915,-73.7639,2.7,3/5/11,53
USW00094789,40.63915,-73.7639,2.7,3/6/11,51
USW00094789,40.63915,-73.7639,2.7,3/7/11,51
USW00094789,40.63915,-73.7639,2.7,3/8/11,48
USW00094789,40.63915,-73.7639,2.7,3/9/11,44
USW00094789,40.63915,-73.7639,2.7,3/10/11,49
USW00094789,40.63915,-73.7639,2.7,3/11/11,55
USW00094789,40.63915,-73.7639,2.7,3/12/11,55
USW00094789,40.63915,-73.7639,2.7,3/13/11,53
USW00094789,40.63915,-73.7639,2.7,3/14/11,46
USW00094789,40.63915,-73.7639,2.7,3/15/11,45
USW00094789,40.63915,-73.7639,2.7,3/16/11,58
USW00094789,40.63915,-73.7639,2.7,3/17/11,62
USW00094789,40.63915,-73.7639,2.7,3/18/11,79
USW00094789,40.63915,-73.7639,2.7,3/19/11,61
USW00094789,40.63915,-73.7639,2.7,3/20/11,47
USW00094789,40.63915,-73.7639,2.7,3/21/11,47
USW00094789,40.63915,-73.7639,2.7,3/22/11,53
USW00094789,40.63915,-73.7639,2.7,3/23/11,43
USW00094789,40.63915,-73.7639,2.7,3/24/11,45
USW00094789,40.63915,-73.7639,2.7,3/25/11,43
USW00094789,40.63915,-73.7639,2.7,3/26/11,41
USW00094789,40.63915,-73.7639,2.7,3/27/11,46
USW00094789,40.63915,-73.7639,2.7,3/28/11,47
USW00094789,40.63915,-73.7639,2.7,3/29/11,51
USW00094789,40.63915,-73.7639,2.7,3/30/11,49
USW00094789,40.63915,-73.7639,2.7,3/31/11,44
USW00094789,40.63915,-73.7639,2.7,4/1/11,45
USW00094789,40.63915,-73.7639,2.7,4/2/11,57
USW00094789,40.63915,-73.7639,2.7,4/3/11,60
USW00094789,40.63915,-73.7639,2.7,4/4/11,55
USW00094789,40.63915,-73.7639,2.7,4/5/11,53
USW00094789,40.63915,-73.7639,2.7,4/6/11,56
USW00094789,40.63915,-73.7639,2.7,4/7/11,49
USW00094789,40.63915,-73.7639,2.7,4/8/11,50
USW00094789,40.63915,-73.7639,2.7,4/9/11,54
USW00094789,40.63915,-73.7639,2.7,4/10/11,53
USW00094789,40.63915,-73.7639,2.7,4/11/11,61
USW00094789,40.63915,-73.7639,2.7,4/12/11,68
USW00094789,40.63915,-73.7639,2.7,4/13/11,55
